player,game_date,points,rebounds,assists,steals,blocks,minutes
LeBron James,2024-01-01,24,8,9,2,0,36
LeBron James,2024-01-03,27,7,7,1,1,34
LeBron James,2024-01-05,22,6,8,1,0,35
Giannis Antetokounmpo,2024-01-02,32,12,5,1,2,36
Giannis Antetokounmpo,2024-01-04,29,11,4,1,1,35
Giannis Antetokounmpo,2024-01-06,31,10,4,2,1,35
Jayson Tatum,2024-01-02,28,9,5,1,0,35
Jayson Tatum,2024-01-04,24,7,3,1,1,34
Jayson Tatum,2024-01-06,27,8,4,1,0,35
Marcus Smart,2024-01-01,16,4,6,2,0,33
Marcus Smart,2024-01-03,13,3,5,2,0,32
Marcus Smart,2024-01-05,15,4,6,1,1,33
